dataset,profile,method,method_label,mean,std,min,max,count
hatespeech,kmeans_center,ours_sample_package_influence_only,Teacher-pkg-no-loss,20.0,4.0,16,24,3
hatespeech,kmeans_center,ours_sample_package_krr,Ours-online-pkg-KRR,36.666666666666664,5.859465277082316,30,41,3
hatespeech,kmeans_center,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,18.0,4.358898943540674,13,21,3
hatespeech,kmeans_center,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,33.0,6.557438524302,26,39,3
hatespeech,kmeans_center,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,45.0,5.291502622129181,39,49,3
hatespeech,kmeans_center,ours_sample_package_task_operator,Ours-online-pkg-task,38.0,9.848857801796104,27,46,3
hatespeech,kmeans_center,ours_task_operator,Ours-online-task,33.666666666666664,12.662279942148386,20,45,3
hatespeech,noise,ours_downstream_direct,Teacher-direct,43.333333333333336,9.073771725877465,33,50,3
hatespeech,noise,ours_influence_only,Teacher-no-loss,50.0,0.0,50,50,3
hatespeech,noise,ours_kernel_ridge_student,Ours-online-KRR,49.333333333333336,0.5773502691896247,49,50,3
hatespeech,noise,ours_krr_influence_only,Ours-online-KRR-no-loss,34.333333333333336,9.71253485622231,26,45,3
hatespeech,noise,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,48.0,2.6457513110645907,45,50,3
hatespeech,noise,ours_loss_reduction_only,Teacher-no-influence,25.0,16.703293088490067,7,40,3
hatespeech,noise,ours_sample_package_direct,Teacher-pkg-direct,48.666666666666664,1.5275252316519468,47,50,3
hatespeech,noise,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hatespeech,noise,ours_sample_package_krr,Ours-online-pkg-KRR,50.0,0.0,50,50,3
hatespeech,noise,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,45.333333333333336,2.309401076758502,44,48,3
hatespeech,noise,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,50.0,0.0,50,50,3
hatespeech,noise,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,42.333333333333336,8.144527815247077,33,48,3
hatespeech,noise,ours_sample_package_task_operator,Ours-online-pkg-task,17.333333333333332,6.5064070986477125,11,24,3
hatespeech,noise,ours_task_operator,Ours-online-task,4.666666666666667,4.509249752822894,0,9,3
hatespeech,typiclust_dense,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,typiclust_dense,ours_influence_only,Teacher-no-loss,7.0,5.291502622129181,3,13,3
hatespeech,typiclust_dense,ours_kernel_ridge_student,Ours-online-KRR,25.333333333333332,4.932882862316247,22,31,3
hatespeech,typiclust_dense,ours_krr_influence_only,Ours-online-KRR-no-loss,11.333333333333334,3.2145502536643185,9,15,3
hatespeech,typiclust_dense,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,25.0,5.291502622129181,21,31,3
hatespeech,typiclust_dense,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hatespeech,typiclust_dense,ours_sample_package_direct,Teacher-pkg-direct,48.666666666666664,2.3094010767585034,46,50,3
hatespeech,typiclust_dense,ours_sample_package_influence_only,Teacher-pkg-no-loss,23.0,6.557438524302,16,29,3
hatespeech,typiclust_dense,ours_sample_package_krr,Ours-online-pkg-KRR,36.666666666666664,3.785938897200182,34,41,3
hatespeech,typiclust_dense,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,21.0,3.4641016151377544,17,23,3
